2097.000000,2060.000000,866.000000,2007.000000
2234.000000,2070.000000,1002.000000,2014.000000
1657.000000,2079.000000,387.000000,2037.000000
2276.000000,2069.000000,1044.000000,2012.000000
2020.000000,2081.000000,788.000000,2030.000000
2019.000000,2081.000000,787.000000,2030.000000
2158.000000,2074.000000,928.000000,2020.000000
2228.000000,2054.000000,997.000000,1999.000000
2159.000000,2074.000000,929.000000,2020.000000
2405.000000,1937.000000,1159.000000,1883.000000
2269.000000,2069.000000,1036.000000,2013.000000
2066.000000,2059.000000,834.000000,2007.000000
2413.000000,1927.000000,1167.000000,1873.000000
2419.000000,1932.000000,1173.000000,1878.000000
2370.000000,1913.000000,1127.000000,1859.000000
1934.000000,2064.000000,697.000000,2015.000000
1939.000000,2065.000000,701.000000,2016.000000
2195.000000,2052.000000,965.000000,1997.000000
2091.000000,2076.000000,860.000000,2023.000000
2205.000000,2071.000000,974.000000,2015.000000
2993.000000,2054.000000,1661.000000,1985.000000
2150.000000,2075.000000,920.000000,2021.000000
2191.000000,988.000000,916.000000,930.000000
2143.000000,2076.000000,913.000000,2022.000000
2190.000000,987.000000,916.000000,929.000000
2583.000000,1903.000000,1319.000000,1851.000000
2610.000000,1940.000000,1343.000000,1885.000000
2989.000000,2103.000000,1660.000000,2028.000000
