3003.000000,2499.000000,1857.000000,2295.000000
2856.000000,2240.000000,1719.000000,2087.000000
2952.000000,2530.000000,1816.000000,2331.000000
2855.000000,2722.000000,1750.000000,2521.000000
2807.000000,2648.000000,1704.000000,2462.000000
2630.000000,2638.000000,1555.000000,2486.000000
2497.000000,2974.000000,1460.000000,2827.000000
2578.000000,2578.000000,1504.000000,2441.000000
2438.000000,2927.000000,1406.000000,2796.000000
2893.000000,3175.000000,1809.000000,2923.000000
2431.000000,2867.000000,1393.000000,2742.000000
2869.000000,2698.000000,1759.000000,2496.000000
2780.000000,2391.000000,1663.000000,2234.000000
2964.000000,3778.000000,1908.000000,3446.000000
3012.000000,2473.000000,1861.000000,2271.000000
2864.000000,2242.000000,1725.000000,2088.000000
2778.000000,3068.000000,1710.000000,2852.000000
2491.000000,2970.000000,1454.000000,2826.000000
